"filename", "language", "TypeScript JSX", "SCSS", "TypeScript", "HTML", "comment", "blank", "total"
"e:\taroDemos\cloudmate\src\pages\chat\components\message-item\components\approval\init\index.module.scss", "SCSS", 0, 35, 0, 0, 0, 4, 39
"e:\taroDemos\cloudmate\src\pages\chat\components\message-item\components\approval\init\index.tsx", "TypeScript JSX", 64, 0, 0, 0, 1, 9, 74
"e:\taroDemos\cloudmate\src\pages\chat\components\message-item\components\approval\next\index.module.scss", "SCSS", 0, 59, 0, 0, 0, 5, 64
"e:\taroDemos\cloudmate\src\pages\chat\components\message-item\components\approval\next\index.tsx", "TypeScript JSX", 90, 0, 0, 0, 1, 11, 102
"e:\taroDemos\cloudmate\src\pages\chat\components\message-item\context.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 3, 10
"e:\taroDemos\cloudmate\src\pages\chat\components\message-item\index.module.scss", "SCSS", 0, 50, 0, 0, 0, 5, 55
"e:\taroDemos\cloudmate\src\pages\chat\components\message-item\index.tsx", "TypeScript JSX", 95, 0, 0, 0, 0, 12, 107
"e:\taroDemos\cloudmate\src\pages\chat\context.tsx", "TypeScript JSX", 11, 0, 0, 0, 0, 3, 14
"e:\taroDemos\cloudmate\src\pages\chat\hooks\useAutoScrollToButtom.ts", "TypeScript", 0, 0, 20, 0, 1, 8, 29
"e:\taroDemos\cloudmate\src\pages\chat\index.tsx", "TypeScript JSX", 37, 0, 0, 0, 0, 6, 43
"e:\taroDemos\cloudmate\src\pages\chat\utils.ts", "TypeScript", 0, 0, 14, 0, 0, 3, 17
"e:\taroDemos\cloudmate\src\pages\chat\views\main-content\index.module.scss", "SCSS", 0, 61, 0, 0, 0, 10, 71
"e:\taroDemos\cloudmate\src\pages\chat\views\main-content\index.tsx", "TypeScript JSX", 122, 0, 0, 0, 2, 18, 142
"e:\taroDemos\cloudmate\src\pages\chat\views\setting\components\chat-record\date\index.module.scss", "SCSS", 0, 53, 0, 0, 0, 5, 58
"e:\taroDemos\cloudmate\src\pages\chat\views\setting\components\chat-record\date\index.tsx", "TypeScript JSX", 144, 0, 0, 0, 2, 16, 162
"e:\taroDemos\cloudmate\src\pages\chat\views\setting\components\chat-record\keywords\index.module.scss", "SCSS", 0, 50, 0, 0, 0, 7, 57
"e:\taroDemos\cloudmate\src\pages\chat\views\setting\components\chat-record\keywords\index.tsx", "TypeScript JSX", 87, 0, 0, 0, 1, 14, 102
"e:\taroDemos\cloudmate\src\pages\chat\views\setting\context.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 3, 13
"e:\taroDemos\cloudmate\src\pages\chat\views\setting\index.module.scss", "SCSS", 0, 24, 0, 0, 1, 3, 28
"e:\taroDemos\cloudmate\src\pages\chat\views\setting\index.tsx", "TypeScript JSX", 95, 0, 0, 0, 0, 14, 109
"e:\taroDemos\cloudmate\src\pages\company\index.tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 4, 20
"e:\taroDemos\cloudmate\src\pages\company\views\attendance\components\atd-button\index.module.scss", "SCSS", 0, 12, 0, 0, 0, 1, 13
"e:\taroDemos\cloudmate\src\pages\company\views\attendance\components\atd-button\index.tsx", "TypeScript JSX", 45, 0, 0, 0, 2, 8, 55
"e:\taroDemos\cloudmate\src\pages\company\views\attendance\components\atd-record\index.module.scss", "SCSS", 0, 39, 0, 0, 0, 4, 43
"e:\taroDemos\cloudmate\src\pages\company\views\attendance\components\atd-record\index.tsx", "TypeScript JSX", 110, 0, 0, 0, 0, 22, 132
"e:\taroDemos\cloudmate\src\pages\company\views\attendance\context.ts", "TypeScript", 0, 0, 9, 0, 0, 3, 12
"e:\taroDemos\cloudmate\src\pages\company\views\attendance\index.module.scss", "SCSS", 0, 3, 0, 0, 0, 1, 4
"e:\taroDemos\cloudmate\src\pages\company\views\attendance\index.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 3, 20
"e:\taroDemos\cloudmate\src\pages\company\views\time\index.module.scss", "SCSS", 0, 38, 0, 0, 2, 4, 44
"e:\taroDemos\cloudmate\src\pages\company\views\time\index.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 3, 23
"e:\taroDemos\cloudmate\src\pages\file\components\action-sheet\edit-file\index.module.scss", "SCSS", 0, 26, 0, 0, 0, 5, 31
"e:\taroDemos\cloudmate\src\pages\file\components\action-sheet\edit-file\index.tsx", "TypeScript JSX", 118, 0, 0, 0, 6, 18, 142
"e:\taroDemos\cloudmate\src\pages\file\components\action-sheet\new-folder\index.module.scss", "SCSS", 0, 34, 0, 0, 0, 4, 38
"e:\taroDemos\cloudmate\src\pages\file\components\action-sheet\new-folder\index.tsx", "TypeScript JSX", 65, 0, 0, 0, 0, 11, 76
"e:\taroDemos\cloudmate\src\pages\file\components\breadcrumbs\index.module.scss", "SCSS", 0, 20, 0, 0, 1, 3, 24
"e:\taroDemos\cloudmate\src\pages\file\components\breadcrumbs\index.tsx", "TypeScript JSX", 52, 0, 0, 0, 0, 10, 62
"e:\taroDemos\cloudmate\src\pages\file\components\file-list\components\file-item\index.module.scss", "SCSS", 0, 82, 0, 0, 0, 9, 91
"e:\taroDemos\cloudmate\src\pages\file\components\file-list\components\file-item\index.tsx", "TypeScript JSX", 52, 0, 0, 0, 0, 10, 62
"e:\taroDemos\cloudmate\src\pages\file\components\file-list\index.module.scss", "SCSS", 0, 24, 0, 0, 0, 3, 27
"e:\taroDemos\cloudmate\src\pages\file\components\file-list\index.tsx", "TypeScript JSX", 29, 0, 0, 0, 0, 9, 38
"e:\taroDemos\cloudmate\src\pages\file\components\modal\file-rename\index.module.scss", "SCSS", 0, 30, 0, 0, 0, 5, 35
"e:\taroDemos\cloudmate\src\pages\file\components\modal\file-rename\index.tsx", "TypeScript JSX", 50, 0, 0, 0, 0, 10, 60
"e:\taroDemos\cloudmate\src\pages\file\components\tools\index.module.scss", "SCSS", 0, 33, 0, 0, 0, 4, 37
"e:\taroDemos\cloudmate\src\pages\file\components\tools\index.tsx", "TypeScript JSX", 95, 0, 0, 0, 5, 16, 116
"e:\taroDemos\cloudmate\src\pages\file\context.ts", "TypeScript", 0, 0, 14, 0, 0, 8, 22
"e:\taroDemos\cloudmate\src\pages\file\hooks\use-fetch-flie-fist.ts", "TypeScript", 0, 0, 28, 0, 0, 5, 33
"e:\taroDemos\cloudmate\src\pages\file\hooks\use-file-handler.ts", "TypeScript", 0, 0, 70, 0, 0, 9, 79
"e:\taroDemos\cloudmate\src\pages\file\hooks\use-popup-manager.tsx", "TypeScript JSX", 44, 0, 0, 0, 0, 7, 51
"e:\taroDemos\cloudmate\src\pages\file\index.module.scss", "SCSS", 0, 17, 0, 0, 0, 2, 19
"e:\taroDemos\cloudmate\src\pages\file\index.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 4, 31
"e:\taroDemos\cloudmate\src\pages\file\utils\index.ts", "TypeScript", 0, 0, 4, 0, 0, 1, 5
"e:\taroDemos\cloudmate\src\pages\file\views\main-content\index.tsx", "TypeScript JSX", 52, 0, 0, 0, 0, 9, 61
"e:\taroDemos\cloudmate\src\pages\file\views\search-file\index.module.scss", "SCSS", 0, 43, 0, 0, 0, 4, 47
"e:\taroDemos\cloudmate\src\pages\file\views\search-file\index.tsx", "TypeScript JSX", 67, 0, 0, 0, 10, 12, 89
"e:\taroDemos\cloudmate\src\pages\group\components\contacts\index.module.scss", "SCSS", 0, 66, 0, 0, 0, 6, 72
"e:\taroDemos\cloudmate\src\pages\group\components\contacts\index.tsx", "TypeScript JSX", 66, 0, 0, 0, 0, 15, 81
"e:\taroDemos\cloudmate\src\pages\group\components\header\index.tsx", "TypeScript JSX", 30, 0, 0, 0, 0, 6, 36
"e:\taroDemos\cloudmate\src\pages\group\components\tools\index.module.scss", "SCSS", 0, 23, 0, 0, 0, 3, 26
"e:\taroDemos\cloudmate\src\pages\group\components\tools\index.tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 4, 20
"e:\taroDemos\cloudmate\src\pages\group\components\tools\search-bar\index.module.scss", "SCSS", 0, 18, 0, 0, 0, 3, 21
"e:\taroDemos\cloudmate\src\pages\group\components\tools\search-bar\index.tsx", "TypeScript JSX", 11, 0, 0, 0, 0, 3, 14
"e:\taroDemos\cloudmate\src\pages\group\context.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 4, 14
"e:\taroDemos\cloudmate\src\pages\group\index.module.scss", "SCSS", 0, 14, 0, 0, 0, 2, 16
"e:\taroDemos\cloudmate\src\pages\group\index.tsx", "TypeScript JSX", 33, 0, 0, 0, 0, 5, 38
"e:\taroDemos\cloudmate\src\pages\index\anim.scss", "SCSS", 0, 25, 0, 0, 0, 5, 30
"e:\taroDemos\cloudmate\src\pages\index\index.module.scss", "SCSS", 0, 7, 0, 0, 0, 1, 8
"e:\taroDemos\cloudmate\src\pages\index\index.tsx", "TypeScript JSX", 28, 0, 0, 0, 28, 4, 60
"e:\taroDemos\cloudmate\src\pages\login\index.module.scss", "SCSS", 0, 60, 0, 0, 0, 9, 69
"e:\taroDemos\cloudmate\src\pages\login\index.tsx", "TypeScript JSX", 83, 0, 0, 0, 0, 7, 90
"e:\taroDemos\cloudmate\src\pages\not-found\index.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 3, 10
"e:\taroDemos\cloudmate\src\pages\profile\components\featrue\index.module.scss", "SCSS", 0, 25, 0, 0, 0, 4, 29
"e:\taroDemos\cloudmate\src\pages\profile\components\featrue\index.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 7, 30
"e:\taroDemos\cloudmate\src\pages\profile\components\user-detail\index.module.scss", "SCSS", 0, 29, 0, 0, 0, 3, 32
"e:\taroDemos\cloudmate\src\pages\profile\components\user-detail\index.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 5, 32
"e:\taroDemos\cloudmate\src\pages\profile\index.module.scss", "SCSS", 0, 27, 0, 0, 0, 5, 32
"e:\taroDemos\cloudmate\src\pages\profile\index.tsx", "TypeScript JSX", 54, 0, 0, 0, 0, 6, 60
"e:\taroDemos\cloudmate\src\socket\index.ts", "TypeScript", 0, 0, 112, 0, 1, 27, 140
"e:\taroDemos\cloudmate\src\store\index.ts", "TypeScript", 0, 0, 22, 0, 0, 4, 26
"e:\taroDemos\cloudmate\src\store\reducers\attandence.ts", "TypeScript", 0, 0, 22, 0, 0, 6, 28
"e:\taroDemos\cloudmate\src\store\reducers\auth.ts", "TypeScript", 0, 0, 31, 0, 0, 9, 40
"e:\taroDemos\cloudmate\src\store\reducers\chat.ts", "TypeScript", 0, 0, 0, 0, 66, 9, 75
"e:\taroDemos\cloudmate\src\store\reducers\contacts.ts", "TypeScript", 0, 0, 71, 0, 0, 6, 77
"e:\taroDemos\cloudmate\src\store\reducers\file.ts", "TypeScript", 0, 0, 55, 0, 0, 6, 61
"e:\taroDemos\cloudmate\src\store\reducers\index.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 1, 7
"e:\taroDemos\cloudmate\src\store\reducers\tabbar.ts", "TypeScript", 0, 0, 17, 0, 0, 5, 22
"e:\taroDemos\cloudmate\src\store\reducers\user.ts", "TypeScript", 0, 0, 26, 0, 0, 5, 31
